,name,scores_summed
325,Shelley Moore Capito,1.344516050464246
245,Rep. Sean Casten,1.3407166120568923
312,Rep. Norma Torres,1.3403043360638174
48,Rep. Tim Burchett,1.3320531413132097
287,Rep. Wiley Nickel,1.309845427006918
351,Congressman Chris Deluzio,1.2551897728529782
0,Rep. Mike Bost,1.2474017589522766
323,Rep Ryan Zinke,1.2361001582214213
175,Michael Bennet,1.2268835551128006
171,Rep. Brad Wenstrup,1.2218975308089188
67,Rep. Danny K. Davis,1.1953297764091426
327,Senator Bob Casey,1.111374189137295
263,French Hill,1.0978565028947613
101,"John Joyce, M.D.",1.08831264193274
418,Rep. Steven Horsford,1.0636180047466615
17,"Larry Bucshon, MD",1.0619662647151615
157,Cong. Mike Simpson,1.022384662982763
385,Congressman Rob Menendez,1.0159587512685195
258,Rep Josh Gottheimer,1.0085584642654477
304,Rep. Bobby Scott,0.9977465613601548
37,Rick W. Allen,0.9904353719655727
92,Congresswoman Erin Houchin,0.9645118340897394
72,Congressman Chuck Edwards,0.9629565565266801
114,Rep. Mike Levin,0.9506924326292494
274,Congressman Mike Lawler,0.949505699360773
179,Richard Burr,0.9083918090894179
337,Rep. Linda S\u00e1nchez,0.9024073356077082
268,Congressman Tom Kean,0.8751937622242592
34,Tim Kaine,0.8402645825585041
377,Rep. Ted Lieu,0.8193066133924363
390,Andr\u00e9 Carson,0.8049168272540239
380,Rep. Marc Veasey,0.7906915778648098
285,Rep. Richard Neal,0.7844256339666483
133,Rep. Alexandria Ocasio-Cortez,0.7671315923357946
256,Rep. Jimmy Gomez,0.7508449476268154
16,Senator Ben Cardin,0.7251332229457298
266,Rep. Dusty Johnson,0.7247716988982705
117,Rep. Stephen Lynch,0.72124591699558
422,Brian Higgins,0.7043819816481267
376,Congressman Nick LaLota,0.6772093002262776
102,Congresswoman Sydney Kamlager-Dove,0.6611802930008024
225,Senator Tina Smith,0.6199197051867865
398,Rep. Mike Kelly,0.6194526727671846
87,Rep. Garret Graves,0.6036376988585268
276,Frank Lucas,0.5880913125476093
