,user_id,name,username,followers_count,following_count,non_irony,not_hate,not_offensive,avg_dense_model_score,avg_lstm_score,not_real,scaled_non_irony,scaled_not_hate,scaled_not_offensive,scaled_avg_dense_model_score,scaled_avg_lstm_score,scaled_not_real,cluster,scores_summed
0,2964877294,Rep. Mike Bost,RepBost,17329,1969,0.7482,0.9556,0.8884,0.6042637939000003,0.5057731622999999,0.99,0.6461688103088143,-0.4700951374414598,0.24750873748289856,-0.11314285992223186,0.27309616285105065,0.6638660456732048,3,1.2474017589522766
1,1880674038,US Rep Kathy Castor,USRepKCastor,25181,5510,0.7337,0.9675,0.9001,0.6301940936,0.4946187301999999,0.9913,0.40055482448630997,0.2609267634973973,0.6114584337352748,0.18682041426381943,-0.45521858516160996,0.7134942269311999,3,1.718036077752391
2,85396297,Rep. Joe Courtney,RepJoeCourtney,27011,2239,0.7017,0.9814,0.9223,0.5801643843,0.5117062750000002,0.9632,-0.1414898338805985,1.1148094881234571,1.3020296522654218,-0.3919262867704352,0.6604913652505914,-0.3592379987224119,3,2.1846763862660246
3,2970279814,Rep. Debbie Dingell,RepDebDingell,103518,2588,0.7237,0.9641,0.8768,0.7516723344000001,0.5019405720000002,0.9721,0.23116586874665107,0.0520633632291485,-0.11333027760492431,1.5920880461196134,0.022851953772933583,-0.01947583472535995,3,1.7653631195380621
4,90639372,Congressman Dwight Evans,RepDwightEvans,20707,3534,0.6825,0.9691,0.9029,0.5691510082999997,0.45792620520000005,0.9936,-0.46671662890074317,0.3592154224471554,0.6985575063426814,-0.519329685999261,-2.851011294260906,0.8012979322338116,2,-1.977986748137262
5,1071102246,Rep. Jared Huffman,RepHuffman,44332,1071,0.7185,0.9618,0.8838,0.6313980154000002,0.49327474209999994,0.9887,0.14308361176202883,-0.08922658401113262,0.10441740391359074,0.200747454412608,-0.5429726138390083,0.6142378644152098,2,0.43028713665329643
6,1610356961475809280,Rep. Kevin Kiley,RepKiley,274,24,0.6021,0.9845,0.9248,0.5168391036666667,0.49433617933333335,0.8806,-1.8286038330476,1.3052437648386206,1.3797966813791753,-1.1244769605879608,-0.47366739200467795,-3.5125362848074007,0,-4.254244024229844
7,584012853,Rep. Doug Lamborn,RepDLamborn,34740,1307,0.705,0.9519,0.8806,0.5835252105999997,0.5060277830000001,0.9662,-0.08559147848651162,-0.697387661262787,0.004875606647984551,-0.35304804499991915,0.2897213042564493,-0.24471142658857434,1,-1.0861417004333582
8,1082380458976051202,Rep. Lucy McBath,RepLucyMcBath,56307,577,0.8207,0.9719,0.889,0.8250935133999999,0.5072912325000002,0.9837,1.8742387394213404,0.5312205756092406,0.26617282447020124,2.441428682450181,0.37221666538015125,0.42336024419214713,3,5.908637731523261
9,272482466,Rep. Jay Obernolte,JayObernolte,8750,915,0.7114,0.9686,0.894,0.5612407994999998,0.5046930568000001,0.9181,0.022817453186871194,0.3285002165253581,0.42170688269771195,-0.6108354594995683,0.20257201980127088,-2.0809541331344326,0,-1.7161930204227889
10,1072008757,Rep. Chris Stewart,RepChrisStewart,44289,465,0.6876,0.9597,0.8681,0.6055944798999998,0.5023823946,0.9953,-0.38032826147351734,-0.21823044888269483,-0.38395953892079404,-0.09774940384608007,0.051700210026621195,0.86619632310965,1,-0.1623711199868151
11,202206694,Sen. John Barrasso,SenJohnBarrasso,161291,537,0.6797,0.952,0.8758,0.6686963052000002,0.489060114,0.9704,-0.514145536507848,-0.6912446200784275,-0.14443708925042645,0.6322163251695603,-0.818161505133487,-0.0843742256011983,1,-1.620146651401827
12,476256944,Senator Dianne Feinstein,SenFeinstein,1452462,261,0.6548,0.9673,0.8376,0.5414563733,0.48777421519999986,0.959,-0.935924036299597,0.24864068112867838,-1.3327172941086078,-0.8397028975741203,-0.9021226653338236,-0.5195751997097837,2,-4.281401411897254
13,816683274076614656,John Kennedy,SenJohnKennedy,675837,1299,0.6744,0.905,0.8329,0.6518807767000001,0.5099140234999999,0.9843,-0.6039216830498667,-3.5784739767276856,-1.478919308842469,0.43769327513211886,0.5434685363072854,0.44626555861891215,1,-4.233887598561704
14,296361085,Senator John Thune,SenJohnThune,139134,342,0.8101,0.9708,0.9125,0.6007114880999999,0.5023009834999997,0.9845,1.694686446337303,0.46364712258127977,0.9971828981395,-0.15423614812199152,0.046384573672339745,0.453900663427838,3,3.501565556036269
15,250188760,Ron Wyden,RonWyden,513511,621,0.7639,0.9767,0.8997,0.6951624428999997,0.5048310606,0.9899,0.9121094708200794,0.8260865524585286,0.5990157090770752,0.93837820572626,0.21158280600003712,0.660048493268744,3,4.147221237350725
16,109071031,Senator Ben Cardin,SenatorCardin,260229,3458,0.7186,0.9657,0.8443,0.6955421955,0.5039463378000002,0.9846,0.1447775013194252,0.15035202217891344,-1.1243016560837424,0.9427712067557366,0.15381593294309814,0.4577182158322989,1,0.7251332229457298
17,234812598,"Larry Bucshon, MD",RepLarryBucshon,25870,2116,0.7133,0.9652,0.8862,0.5999357388,0.5169312448000002,0.9692,0.05500135477740657,0.11963681625710933,0.1790737518627945,-0.16321006291154994,1.0016492591841377,-0.13018485445473674,3,1.0619662647151615
18,797201048490430465,Rep. Claudia Tenney,RepTenney,31784,619,0.6082,0.9236,0.8323,0.6368349003999999,0.5030775308999998,0.9465,-1.725276570046408,-2.435868316436704,-1.4975833958297682,0.26364166870404426,0.09708826874893295,-0.9967692502674383,1,-6.294767595127342
